artist,song_id,title,url,lyrics,year,Lyrics_Processed,Sentiment of lyrics,compound_sentiment,negative,neutral,positive,compound,Languages,word_count,word_count_unique,lyrical_density,happy,love,sadness,anger,foul
ROSALÍA & Rauw Alejandro,8916305,VAMPIROS,https://genius.com/Rosalia-and-rauw-alejandro-vampiros-lyrics,"24 ContributorsTranslationsEnglishDeutschVAMPIROS Lyrics

Mi pistola
No tiene seguro, se dispara sola
Es de Barcelona, pero está en Carola
Ella no es seguidora, ella es la ola

Mi pistola
No tiene seguro, se dispara sola
Es de Barcelona, pero está en Carola
Ella no es seguidora, ella es la ola

Nosotros tenemo' la calle prendía'
Salimo' de noche, llegamo' de día
Mi nena cerca de mí, mi nene cerca de mí
En verda' nunca importó lo quе nadie decía

Tú sabe' quе esta noche nos fuimo' algarete, eh
Tú ere' el más que le mete
Tú sabe' que esta noche nos fuimo' algarete, ey
Tú ere' la más que le mete
¿Dónde la noche 'tá pesá'?
Baby, sígueme, vámonos pa'llá
¿Dónde es que la noche 'tá pesá'?
A mi gata le gustó y ahora está juqueá'
You might also like
Baja la ventana pa' que el humo salga
Lo' espíritu' malos se espantan
To' los fin 'e semana la luna me escolta
De la oscuridad, de la maldad (Oh)

Nosotros tenemo' la calle prendía'
Salimo' de noche, llegamo' de día
Mi nena cerca de mí, mi nene cerca de mí
En verda' nunca importó lo que nadie decía

La que pica, spicy, wasabi
Yo soy natural, wabi-sabi
Ella es como Don, yo soy Daddy
Este junte paga to'a la Ferrari
Como tú y yo no hay iguale'
Colmillo' afilao' de metale'
Vampiros sonando ahora pa' siempre, somo' inmortale'

Y tú sabe' que esta noche nos fuimo' algarete
Tú ere' el más que le mete
Tú sabe' que esta noche nos fuimo' algarete (¡Ah!)
Tú ere' la más que le mete
¿Dónde la noche 'tá pesá'?
Ey, yo con mi gato voy pa'llá (Ey)
¿Donde la noche 'tá pesá'?
Guayando con mi gato ya estoy enviciá'
Ah-ah, ah-ah-ah-ah
Ah-ah, ah-ah-ah-ah
Ah-ah, ah-ah-ah-ah
Ah-ah-ah, ah-ah

La vida no vuelve
Se dice que hay que romper
Que el tiempo no hay que perder
No soy el primer hombre
Que intenta y no lo cumple
Si el ego no lo usas
Harás que Dios se luzca
Si del amor abusas
Y es que el mismo te asusta2Embed",2023,mi pistola tiene seguro se dispara sola es de barcelona pero está en carola ella es seguidora ella es la ola mi pistola tiene seguro se dispara sola es de barcelona pero está en carola ella es seguidora ella es la ola nosotros tenemo la calle prendía salimo de noche llegamo de día mi nena cerca de mí mi nene cerca de mí en verda nunca importó lo quе nadie decía tú sabe quе esta noche nos fuimo algarete eh tú ere el más que le mete tú sabe que esta noche nos fuimo algarete ey tú ere la más que le mete dónde la noche tá pesá baby sígueme vámonos pallá dónde es que la noche tá pesá mi gata le gustó ahora está juqueá might also like baja la ventana pa que el humo salga lo espíritu malos se espantan los fin e semana la luna escolta de la oscuridad de la maldad oh nosotros tenemo la calle prendía salimo de noche llegamo de día mi nena cerca de mí mi nene cerca de mí en verda nunca importó lo que nadie decía la que pica spicy wasabi yo soy natural wabisabi ella es como yo soy daddy este junte paga toa la ferrari como tú yo hay iguale colmillo afilao de metale vampiros sonando ahora pa siempre somo inmortale tú sabe que esta noche nos fuimo algarete tú ere el más que le mete tú sabe que esta noche nos fuimo algarete ah tú ere la más que le mete dónde la noche tá pesá ey yo con mi gato voy pallá ey donde la noche tá pesá guayando con mi gato ya estoy enviciá ahah ahahahah ahah ahahahah ahah ahahahah ahahah ahah la vida vuelve se dice que hay que romper que el tiempo hay que perder soy el primer hombre que intenta lo cumple si el ego lo usas harás que dios se luzca si del amor abusas es que el mismo te asusta,1,positive,0.0,0.973,0.027,0.8402, es,329,140,42.5531914893617,1,1,0,0,0
Beyoncé,8219798,ALIEN SUPERSTAR,https://genius.com/Beyonce-alien-superstar-lyrics,"102 ContributorsTranslationsBeyoncé - ALIEN SUPERSTAR (Türkçe Çeviri)*EspañolPortuguêsहिन्दीNederlandsFrançaisΕλληνικάALIEN SUPERSTAR Lyrics
Please do not be alarmed, remain calm
Do not attempt to leave the dance-floor
The DJ booth is conducting a troubleshoot test of the entire system

I'm one of one, I'm number one, I'm the only one
Don't even waste your time trying to compete with me (Don't do it)
No one else in this world can think like me (True)
I'm twisted (Twisted), I'll contradict it
Keep him addicted, lies on his lips, I lick it

Unique
That's what you are
Stilеttos kicking vintage crystal off the bar
Category: bad bitch, I'm thе bar
Alien superstar
Whip, whip

I'm too classy for this world, forever, I'm that girl
Feed you diamonds and pearls, ooh, baby
I'm too classy to be touched, I paid them all in dust
I'm stingy with my love, ooh, baby
You might also like
I'm (U-N-I-Q-U-E)
Ooh, I'm stingy with my love, ooh, baby
I'm (U-N-I-Q-U-E)
Ooh, I'm stingy with my love (Unique)

Unicorn is the uniform you put on
Eyes on you when you perform
Eyes on I when I put on
Mastermind in haute couture
Label whores can't clock, I'm so obscure (Unique)
Masterpiece, genius
Drip intravenous
Patty cake on that wrist
Tiffany Blue billboards over that ceiling (Unique)
We don't like plain
Always dreamed of paper planes
Mile-high when I rodeo
Then I come down and take off again (Unique)
You see pleasure in my glare
Look over my shoulder and you ain't scared
The effects you have on me when you stare
Head on a pillow, hike it in the air

I'm too classy for this world, forever, I'm that girl
Feed you diamonds and pearls, ooh, baby
I'm too classy to be touched, I paid them all in dust
I'm stingy with my love, ooh, baby
I got pearls beneath my legs, my lips, my hands, my hips (U-N-I-Q-U-E)
I got diamonds beneath my thighs where his ego will find bliss
Can't find an ocean deep that can compete with this cinnamon kiss (U-N-I-Q-U-E)
Fire beneath your feet, music when you speak, you're so unique

(Unique)
That's what you are
Lingerie reflecting off the mirror on the bar
Category: sexy bitch, I'm the bar
Alien superstar
We dress a certain way
We walk a certain way
We talk a certain way
We, we paint a certain way
We, we make love a certain way, you know?
All of these things we do in a different
Unique, specific way that is personally ours
We just reaching out to the solar system
We flying over bullshit, we flying over
Supernatural love up in the air
I just talk my shit, Casanova
Superstar, supernova
Power, pull 'em in closer
If that's your man, then why he over here? (Unique)28Embed",2022,please alarmed remain calm attempt leave dancefloor dj booth conducting troubleshoot test entire system im one one im number one im one dont even waste time trying compete dont one else world think like true im twisted twisted ill contradict keep addicted lies lips lick unique thats stilеttos kicking vintage crystal bar category bad bitch im thе bar alien superstar whip whip im classy world forever im girl feed diamonds pearls ooh baby im classy touched paid dust im stingy love ooh baby might also like im unique ooh im stingy love ooh baby im unique ooh im stingy love unique unicorn uniform put eyes perform eyes put mastermind haute couture label whores cant clock im obscure unique masterpiece genius drip intravenous patty cake wrist tiffany blue billboards ceiling unique dont like plain always dreamed paper planes milehigh rodeo come take unique see pleasure glare look shoulder aint scared effects stare head pillow hike air im classy world forever im girl feed diamonds pearls ooh baby im classy touched paid dust im stingy love ooh baby got pearls beneath legs lips hands hips unique got diamonds beneath thighs ego find bliss cant find ocean deep compete cinnamon kiss unique fire beneath feet music speak youre unique unique thats lingerie reflecting mirror bar category sexy bitch im bar alien superstar dress certain way walk certain way talk certain way paint certain way make love certain way know things different unique specific way personally reaching solar system flying bullshit flying supernatural love air talk shit casanova superstar supernova power pull em closer thats man unique,1,positive,0.133,0.613,0.254,0.9904, en,263,158,60.07604562737643,1,1,1,0,3
Caroline Polachek,8784544,Pretty in Possible,https://genius.com/Caroline-polachek-pretty-in-possible-lyrics,"49 ContributorsTranslationsPortuguêsCaroline Polachek - Pretty in Possible (Srpski Prevod)FrançaisItalianoPretty in Possible Lyrics
Da, da-da, da, da, da-da, da
Da, da-da, da, da, da-da, da
Da, da-da, da, da, da-da, da
Da-da, mm
Da, da-da, da, da, da-da, da
Da, da-da, da, da, da-da, da
Da, da-da, da, da, da-da, da
Da-da, mm

Time's running out, innit?
Pity the mayflies in the swimming pool at dawn
But down in the deep end, I can't be left alone
Sweet Eliza's on the court
Potential is the drug they never knew you never tried
But you see it in my eyes and that is, bae
Threading the needle, pretty in possible
If only to get me out the door
Oracle and Odyssey with the bloody nose
If I'm on your street, you'll be the last to know
That I get dizzy, dizzy and I cannot afford that kind of
Free

(Da, da-da, da, da, da-da, da)
(Da, da-da, da, da, da-da, da)
(Da, da-da, da, da, da-da, da)
(Da-da, mm)
Well, how does it feel? (Da, da-da, da, da, da-da, da)
Being so, you know (Da, da-da, da, da, da-da, da)
Rich? (Da, da-da, da, da, da-da, da)
(Da-da, mm)
You might also like
Now you got one eyе on the lane and one еye on the lava
Spinning out, yeah, I respect that, but I was born to get you home
Home, where it's all red and velveteen
Falling back into the leaves
So true, with your lipstick on my thigh
Drink the tears until they dry

Ooh, oh
Pretty in possible
Ooh, oh
Pretty in possible
Ooh, oh
Pretty in possible (Eliza)
Ooh, oh
Pretty in possible

Da, da-da, da, da, da-da, da
Da, da-da, da, da, da-da, da
Da, da-da, da, da, da-da, da
Da-da, mm
Da, da-da, da, da, da-da, da
Da, da-da, da, da, da-da, da
Da, da-da, da, da, da-da, da
Da-da, mm
Da, da-da, da, da, da-da, da
Da, da-da, da, da, da-da, da
Da, da-da, da, da, da-da, da
Da-da, mm
Da, da-da, da, da, da-da, da
Da, da-da, da, da, da-da, da
Da, da-da, da, da, da-da, da
Da-da, mm3Embed",2023,da dada da da dada da da dada da da dada da da dada da da dada da dada mm da dada da da dada da da dada da da dada da da dada da da dada da dada mm times running innit pity mayflies swimming pool dawn deep end cant left alone sweet elizas court potential drug never knew never tried see eyes bae threading needle pretty possible get door oracle odyssey bloody nose im street youll last know get dizzy dizzy cannot afford kind free da dada da da dada da da dada da da dada da da dada da da dada da dada mm well feel da dada da da dada da know da dada da da dada da rich da dada da da dada da dada mm might also like got one eyе lane one еye lava spinning yeah respect born get home home red velveteen falling back leaves true lipstick thigh drink tears dry ooh oh pretty possible ooh oh pretty possible ooh oh pretty possible eliza ooh oh pretty possible da dada da da dada da da dada da da dada da da dada da da dada da dada mm da dada da da dada da da dada da da dada da da dada da da dada da dada mm da dada da da dada da da dada da da dada da da dada da da dada da dada mm da dada da da dada da da dada da da dada da da dada da da dada da dada mm,1,positive,0.07,0.812,0.118,0.9401, en,256,78,30.46875,1,1,1,0,0
Oneohtrix Point Never & Elizabeth Fraser,7208055,Tales from the Trash Stratum,https://genius.com/Oneohtrix-point-never-and-elizabeth-fraser-tales-from-the-trash-stratum-lyrics,6 ContributorsTales from the Trash Stratum LyricsYou might also like1Embed,2021,might also like,1,positive,0.0,0.444,0.556,0.3612, et,3,3,100.0,0,0,0,0,0
Caroline Polachek,4634757,Door,https://genius.com/Caroline-polachek-door-lyrics,"42 ContributorsTranslationsFrançaisPortuguêsDoor Lyrics
Back in the city
I'm just another girl in a sweater
Perpetual novice
Signature on a check made out to you

Took ten laps 'round the planet
To prove what I wasn't
And the door slams hard behind you
When you leave the house of judgment

Been waiting for regret to hit me
Some kind of reckoning
I waited for the drop, 'cause lately
The yang comes with yin

Back in the city
I'm just another girl in a sweater
Perpetual novice
Signature on a check made out to you
Now there's the sunset
Salt in the wound, yeah
Sometimes I don't know who I'm singing to
Who is the you who I sing to
When the house is empty?
You might also like
You open the door
To another door, to another door
To another door, to another door
And I'm running through to you
You open the door
To another door, to another door
To another door, to another door
And I'm running through to you

And we're waking up sore and dizzy
From a ten-year concussion
And the rainfall makes you miss me
Even though you say it doesn't

Back in the city
I'm just another girl in a sweater
Back in the city
Everything's different when we're not together

You open the door
To another door, to another door
To another door, to another door
And I'm running through to you
You open the door
To another door, to another door
To another door, to another door
And I'm running through to you
Running, running, running, running, running
Running, running, running, running, running

Back in the city
I'm just another girl in a sweater
Perpetual novice
Signature on a check made out to you
Now there's the sunset
Salt in the wound, yeah
Sometimes I don't know who I'm singing to
Who is the you who I sing to
When the house is empty?

You open the door
To another door, to another door
To another door, to another door
And I'm running through to you
You open the door
To another door, to another door
To another door, to another door
And I'm running through to you

Running, running, running, running, running
Running, running, running, running, running
Running, running, running, running, running
Running, running, running, running, running
Oh, oh, oh, woah
Oh, oh, oh, yeah
Ooh, ah
Ooh, ah
Ooh, oh
Running, running, running, running, running
Running, running, running, running, running9Embed",2019,back city im another girl sweater perpetual novice signature check made took ten laps round planet prove wasnt door slams hard behind leave house judgment waiting regret hit kind reckoning waited drop cause lately yang comes yin back city im another girl sweater perpetual novice signature check made theres sunset salt wound yeah sometimes dont know im singing sing house empty might also like open door another door another door another door another door im running open door another door another door another door another door im running waking sore dizzy tenyear concussion rainfall makes miss even though say doesnt back city im another girl sweater back city everythings different together open door another door another door another door another door im running open door another door another door another door another door im running running running running running running running running running running running back city im another girl sweater perpetual novice signature check made theres sunset salt wound yeah sometimes dont know im singing sing house empty open door another door another door another door another door im running open door another door another door another door another door im running running running running running running running running running running running running running running running running running running running running running oh oh oh woah oh oh oh yeah ooh ah ooh ah ooh oh running running running running running running running running running running,0,neutral,0.062,0.883,0.055,0.0248, en,237,72,30.37974683544304,1,1,1,0,0
Faye Webster,6624292,I Know I’m Funny haha,https://genius.com/Faye-webster-i-know-im-funny-haha-lyrics,"20 ContributorsI Know I’m Funny haha Lyrics
Let's sit around and drink some saké
Then we can argue 'bout the same things
Talk about neighbors on our front porch
I wonder if they know we're moving
Hope they don't know my landlord personally
'Cause I never told him you moved in with me
But fuck him, he kept my money

I think your sisters are so pretty
Got drunk and they forgot they met me
I made her laugh one time at dinner
She said I'm funny and then I thanked her
But I know I'm funny haha

We go through phases when we're over ours
Right now we both wanna be rockstars
Got you a bass last year on your birthday
The same one the guy from Linkin Park plays
But you look better with it anywaysSee Faye Webster LiveGet tickets as low as $49You might also like4Embed",2021,lets sit around drink saké argue bout things talk neighbors front porch wonder know moving hope dont know landlord personally cause never told moved fuck kept money think sisters pretty got drunk forgot met made laugh one time dinner said im funny thanked know im funny haha go phases right wanna rockstars got bass last year birthday one guy linkin park plays look better anywayssee faye webster liveget tickets low might also like,1,positive,0.071,0.605,0.324,0.9743, en,73,67,91.78082191780823,0,0,0,0,1
Kate NV,5510959,Sayonara (Full Moon Version),https://genius.com/Kate-nv-sayonara-full-moon-version-lyrics,"3 ContributorsSayonara (Full Moon Version) LyricsНет Нет Нет
Да Да Да
Sayonara, прощай
Нет Нет Нет
Да Да Да
Та та та та та
Та та та та та
Sa yo na ra
O-o-o
Sa yo na ra
O-o-o
さよなら
Oh-o-oYou might also likeEmbed",2020,нет нет нет да да да sayonara прощай нет нет нет да да да та та та та та та та та та та sa yo na ra ooo sa yo na ra ooo さよなら ohooyou might also like,1,positive,0.0,0.938,0.062,0.3612, bg,39,15,38.46153846153847,0,0,0,0,0
Kiko El Crazy,9016348,Pa Que Baile,https://genius.com/Kiko-el-crazy-pa-que-baile-lyrics,"3 ContributorsPa Que Baile Lyrics

Oh (Qué pámpara)
DJ Kiko (Ki, ki, ki, ki, ki, ki)
Ilumínalo

Esta te la hice pa' que baile' (Que baile', que baile', que baile', que baile', que baile', que baile')
Pa' que te suba la nota (Nota, nota, nota, nota, nota, nota)
Esta te la hice pa' que baile' (Que baile', que baile', que baile', que baile', que baile', que baile')
Pa' que te suba la nota

Y yo no entiendo lo que él dice (No)
Pero si bebiste molly, ¿como qué tú va a bailá? (Sí)
Si te quiere' desconectar, pues cáeme atrá'
Prende, vamo' a detoná'
Y yo no entiendo lo que él dice (No)
Pero si bebiste molly, ¿como qué tú va a bailá? (Sí)
Si te quiere' desconectar, pues cáeme atrá'
Prende, vamo' a detoná'

Esta te la hice pa' que baile' (Que baile', que baile', que baile', que baile', que baile', que baile')
Pa' que te suba la nota (Nota, nota, nota, nota, nota, nota)
Esta te la hice pa' que baile' (Que baile', que baile', que baile', que baile', que baile', que baile')
Pa' que te suba la nota
You might also like
Así que dale con lo' pie' como le daba Chimbala
El teteo se inventó en República Dominicana
Lo baila la' seria', lo mueve la' mala'
Y lo' tíguere' con la glock pa' arriba, tirando bala'
Prenden el kitipo y de una ve' destapó una fría
Lo exploto de noche lo que me busco en el día
Aquí to el mundo e' millonario por si tú no lo sabía'
Esto e' RD, aquí se bebe to' lo' día' y

Esta te la hice pa' que baile' (Que baile', que baile', que baile', que baile', que baile', que baile')
Pa' que te suba la nota (Nota, nota, nota, nota, nota, nota)
Esta te la hice pa' que baile' (Que baile', que baile', que baile', que baile', que baile', que baile')
Pa' que te suba la nota

DJ Kiko (Ki, ki, ki, ki, ki, ki)
Ilumínalo
Kiko el Crazy
Hay bobo' suelto' con lo' tocayo', jejejejeje
Esto e' pa' que tú lo baile' y haga' tu diligencia como decía el monoEmbed",2023,oh qué pámpara dj kiko ki ki ki ki ki ki ilumínalo esta te la hice pa que baile que baile que baile que baile que baile que baile que baile pa que te suba la nota nota nota nota nota nota nota esta te la hice pa que baile que baile que baile que baile que baile que baile que baile pa que te suba la nota yo entiendo lo que él dice pero si bebiste molly como qué tú va bailá sí si te quiere desconectar pues cáeme atrá prende vamo detoná yo entiendo lo que él dice pero si bebiste molly como qué tú va bailá sí si te quiere desconectar pues cáeme atrá prende vamo detoná esta te la hice pa que baile que baile que baile que baile que baile que baile que baile pa que te suba la nota nota nota nota nota nota nota esta te la hice pa que baile que baile que baile que baile que baile que baile que baile pa que te suba la nota might also like así que dale con lo pie como le daba chimbala el teteo se inventó en república dominicana lo baila la seria lo mueve la mala lo tíguere con la glock pa arriba tirando bala prenden el kitipo de una destapó una fría lo exploto de noche lo que busco en el día aquí el mundo e millonario por si tú lo sabía esto e rd aquí se bebe lo día esta te la hice pa que baile que baile que baile que baile que baile que baile que baile pa que te suba la nota nota nota nota nota nota nota esta te la hice pa que baile que baile que baile que baile que baile que baile que baile pa que te suba la nota dj kiko ki ki ki ki ki ki ilumínalo kiko el crazy hay bobo suelto con lo tocayo jejejejeje esto e pa que tú lo baile haga tu diligencia como decía el mono,1,neutral,0.007,0.985,0.007,0.0258, es,338,94,27.810650887573964,0,0,0,0,0
Oso Oso,7809515,​computer exploder,https://genius.com/Oso-oso-computer-exploder-lyrics,"5 Contributors​computer exploder Lyrics
Nothing goes quite like I planned it
Think I took your love for granted
Little row boat
Captain of my own Titanic
These pills make me feel gigantic
Overflow

So when nothing goes quite like you planned it
Write twelve songs, swing like you can't miss
Write twelve songs, swing like you can't miss
Write twelve songs, swing like you can't miss

Dragging my toes through the sand
I think I burned through twenty grams
Eight more to go
'Til I'm back inside your place again
Placing money in your hand
See you soon, my friend

Control freaks
Foreseen disaster
Console me
We're spending it faster
See Oso Oso LiveGet tickets as low as $36You might also like
So if the money runs out, that's why
If your love runs out, I'll cry
Yeah, it's fine if the love and the money run out
If the drugs run out, I'll die


Control freaks
Foreseen disaster
Console me
We're spending it faster

So if the money runs out, that's why
If your love runs out, I'll cry
Yeah, it's fine if the love and the money run out
If the drugs run out, I'll die
Kinda hard keeping up that lie
Like I miss this half the time
Yeah, I'm fine if the love and the money run out
If the drugs run out, I'll dieEmbed",2022,nothing goes quite like planned think took love granted little row boat captain titanic pills make feel gigantic overflow nothing goes quite like planned write twelve songs swing like cant miss write twelve songs swing like cant miss write twelve songs swing like cant miss dragging toes sand think burned twenty grams eight go til im back inside place placing money hand see soon friend control freaks foreseen disaster console spending faster see oso oso liveget tickets low might also like money runs thats love runs ill cry yeah fine love money run drugs run ill die control freaks foreseen disaster console spending faster money runs thats love runs ill cry yeah fine love money run drugs run ill die kinda hard keeping lie like miss half time yeah im fine love money run drugs run ill die,0,negative,0.297,0.458,0.245,-0.8755, en,138,72,52.17391304347826,1,1,1,0,0
Taylor Swift,5793981,mirrorball,https://genius.com/Taylor-swift-mirrorball-lyrics,"172 ContributorsTranslationsNederlandsTürkçeEspañolСрпскиРусскийPortuguêsفارسیItalianoMagyarDeutschFrançaisHrvatskiΕλληνικάУкраїнськаPolskiRomânăSlovenščinaCatalàmirrorball Lyrics
I want you to know
I'm a mirrorball
I'll show you every version of yourself tonight
I'll get you out on the floor
Shimmering beautiful
And when I break, it's in a million pieces

Hush, when no one is around, my dear
You'll find me on my tallest tiptoes
Spinning in my highest heels, love
Shining just for you
Hush, I know they said the end is near
But I'm still on my tallest tiptoes
Spinning in my highest heels, love
Shining just for you

I want you to know
I'm a mirrorball
I can change everything about me to fit in
You are not like the regulars
The masquerade revelers
Drunk as they watch my shattered edges glisten
See Taylor Swift LiveGet tickets as low as $1,666You might also like
Hush, when no one is around, my dear
You'll find me on my tallest tiptoes
Spinning in my highest heels, love
Shining just for you
Hush, I know they said the end is near
But I'm still on my tallest tiptoes
Spinning in my highest heels, love
Shining just for you

And they called off the circus, burned the disco down
When they sent home the horses and the rodeo clowns
I'm still on that tightrope
I'm still trying everything to get you laughing at me
And I'm still a believer, but I don't know why
I've never been a natural, all I do is try, try, try
I'm still on that trapeze
I'm still trying everything to keep you looking at me

Because I'm a mirrorball
I'm a mirrorball
And I'll show you every version of yourself tonight64Embed",2020,want know im mirrorball ill show every version tonight ill get floor shimmering beautiful break million pieces hush one around dear youll find tallest tiptoes spinning highest heels love shining hush know said end near im still tallest tiptoes spinning highest heels love shining want know im mirrorball change everything fit like regulars masquerade revelers drunk watch shattered edges glisten see taylor swift liveget tickets low might also like hush one around dear youll find tallest tiptoes spinning highest heels love shining hush know said end near im still tallest tiptoes spinning highest heels love shining called circus burned disco sent home horses rodeo clowns im still tightrope im still trying everything get laughing im still believer dont know ive never natural try try try im still trapeze im still trying everything keep looking im mirrorball im mirrorball ill show every version tonight,1,positive,0.1,0.674,0.226,0.9716, en,143,74,51.74825174825175,1,1,1,0,0
Jenny Hval,4689268,Ashes to Ashes,https://genius.com/Jenny-hval-ashes-to-ashes-lyrics,"13 ContributorsAshes to Ashes Lyrics
She had this dream about a song
She was certain that it was about a burial
The ritual beautifully written
Even the groove was filled with sadness
Every beat went all the way down
Into the two holes in the ground

It had the most moving chord changes
She was certain the lyrics
Went about burying someone's ashes
And then having a cigarette

Like it was telling her, ""Ashes to ashes, dust to dust
Ashes to ashes, dust to dust
From me to you,"" but I don't think it was

I had a dream about this song
That I had not written yet
Like I used to dream of fucking before I knew how
I was playing some kind of instrument
That was just a shape in the earth
Like I was playing by digging my own grave
You might also like
And I scooped out dirt with two fingers
Placed it in my mouth
Like ashes to ashes, dust to dust

Put two fingers in the earth
Into rotting plums
Into the honeypot
Into moist nude magazines
Or on your device
Swipe with two fingers
Like you were kicking feet underwater, or under the earth
To get up to the surface

Put two fingers in the earth
Into the honeypot
I am digging my own grave in the honeypot
Like ashes to ashes, dust to dust1Embed",2019,dream song certain burial ritual beautifully written even groove filled sadness every beat went way two holes ground moving chord changes certain lyrics went burying someones ashes cigarette like telling ashes ashes dust dust ashes ashes dust dust dont think dream song written yet like used dream fucking knew playing kind instrument shape earth like playing digging grave might also like scooped dirt two fingers placed mouth like ashes ashes dust dust put two fingers earth rotting plums honeypot moist nude magazines device swipe two fingers like kicking feet underwater earth get surface put two fingers earth honeypot digging grave honeypot like ashes ashes dust dust,1,positive,0.077,0.634,0.289,0.9742, en,106,63,59.43396226415094,1,1,0,0,0
Mannequin Pussy,4500447,Drunk II,https://genius.com/Mannequin-pussy-drunk-ii-lyrics,"22 ContributorsDrunk II Lyrics
I've been going out almost every night
I've been drinking everything I can get my hands on
I pretend I have fun
And do you remember the nights I called you up?
I was so fucked up, I forgot we were broken up
I still love you, you stupid fuck
But you don't look at me, you don't talk to me
And I know it's 'cause you're weak
Maybe you feel guilty, it's pathetic, really

And everyone says to me
""Missy, you're so strong""
But what if I don't wanna be?
And everyone says to me
""Missy, how do you stand it?""
There's so much you don't see

I was getting swept into emptiness
I was taking time, I was practicing living with regret
Something you're so good at
At the end of the night, I am walking home
I pretended I was wet, I'm wanting them
No means please stop, I need to be alone
You might also like
And everyone says to me
""Missy, you're so strong""
But what if I don't wanna be?
And everyone says to me
""Missy, how do you stand it?""
There's so much you don't see

I push you down, I drink to drown, I am alone
I drink you down, I drink you drown, I am alone
I drink to drown (Everyone gather 'round)
I drink to drown (I have the answer now)
I am alone (I have the answer now)
I drink to drown (Everyone gather 'round)
I drink to drown (I have the answer now)
I am alone (I have the answer now)3Embed",2019,ive going almost every night ive drinking everything get hands pretend fun remember nights called fucked forgot broken still love stupid fuck dont look dont talk know cause youre weak maybe feel guilty pathetic really everyone says missy youre strong dont wanna everyone says missy stand theres much dont see getting swept emptiness taking time practicing living regret something youre good end night walking home pretended wet im wanting means please stop need alone might also like everyone says missy youre strong dont wanna everyone says missy stand theres much dont see push drink drown alone drink drink drown alone drink drown everyone gather round drink drown answer alone answer drink drown everyone gather round drink drown answer alone answer,0,negative,0.367,0.511,0.122,-0.9909, en,120,73,60.83333333333333,1,1,1,0,1
Kacey Musgraves,7081489,​breadwinner,https://genius.com/Kacey-musgraves-breadwinner-lyrics,"26 Contributors​breadwinner Lyrics
Here's what he'll do, he'll play it cool
When he hangs out with a woman like you
Say he ain't pressed by all your success
Tell you he's different than all of the rest

You're gonna give it all and give it all
But you won't get it back
I'm tellin' you, it's gonna hurt
Stay away from a boy like that

He wants a breadwinner
He wants your dinner
Until he ain't hungry anymore
He wants your shimmer
To make him feel bigger
Until he starts feelin' insecure
I wish somebody would've told me the truth
Say, ""He's never gonna know what to do
With a woman like you
With a woman like you""

I see the games a mile away
They only end when another heart breaks
But all of his wounds ain't an excuse
For you to put up with how he treats you
See Kacey Musgraves LiveGet tickets as low as $26You might also like
You're gonna give it all and give it all
But you won't get it back
I'm tellin' you, it's gonna hurt
Stay away from a boy like that

He wants a breadwinner
He wants your dinner
Until he ain't hungry anymore
He wants your shimmer
To make him feel bigger
Until he starts feelin' insecure
I wish somebody would've told me the truth
Say, ""He's never gonna know what to do
With a woman like you
With a woman like you""

I can sleep at night
Knowing I really tried
I put in the time
But the fault isn't mine

That he wants a breadwinner
He wants your dinner
Until he ain't hungry anymore (Anymore)
He wants a breadwinner
He wants your dinner
Until he ain't hungry anymore (Anymore)
He wants your shimmer
To make him feel bigger
Until he starts feelin' insecure
I wish somebody would've told me the truth
Say, ""He's never gonna know what to do
With a woman like you
With a woman like you
With a woman like you and me""
He likes what he sees1Embed",2021,heres hell hell play cool hangs woman like say aint pressed success tell hes different rest youre gonna give give wont get back im tellin gonna hurt stay away boy like wants breadwinner wants dinner aint hungry anymore wants shimmer make feel bigger starts feelin insecure wish somebody wouldve told truth say hes never gonna know woman like woman like see games mile away end another heart breaks wounds aint excuse put treats see kacey musgraves liveget tickets low might also like youre gonna give give wont get back im tellin gonna hurt stay away boy like wants breadwinner wants dinner aint hungry anymore wants shimmer make feel bigger starts feelin insecure wish somebody wouldve told truth say hes never gonna know woman like woman like sleep night knowing really tried put time fault isnt mine wants breadwinner wants dinner aint hungry anymore anymore wants breadwinner wants dinner aint hungry anymore anymore wants shimmer make feel bigger starts feelin insecure wish somebody wouldve told truth say hes never gonna know woman like woman like woman like likes sees,1,positive,0.145,0.638,0.217,0.8905, en,178,75,42.13483146067416,1,1,1,0,2
Caitlin Pasko,5907289,Horrible Person,https://genius.com/Caitlin-pasko-horrible-person-lyrics,"3 ContributorsHorrible Person LyricsYou know you are a horrible person
I shouldn't have to explain it to you
Or tell you why, You should know it already
I shouldn't have to give you examples
You know you are a horrible person
And I could never really by fully
At ease around you
Like a cat on a hot tin roof
Wondering when it should move
I know you are a horrible person
Please stop texting me on my birthday
Or when you hear that I'm having surgery
Or when you see that I've moved on
After looking me up on VenmoYou might also likeEmbed",2020,know horrible person shouldnt explain tell know already shouldnt give examples know horrible person could never really fully ease around like cat hot tin roof wondering move know horrible person please stop texting birthday hear im surgery see ive moved looking venmoyou might also like,0,negative,0.254,0.616,0.13,-0.8129, en,45,36,80.0,0,0,0,0,0
